,geneid,gene_symbol,uniprotid,gene_dsi,gene_dpi,gene_pli,protein_class,protein_class_name,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei
15,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0016169,pathologic fistula,C23,"   Pathological Conditions, Signs and Symptoms",phenotype,Anatomical Abnormality,0.01,1.0
16,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0023903,Liver neoplasms,C06;C04,   Digestive System Diseases;    Neoplasms,group,Neoplastic Process,0.01,1.0
17,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0025286,Meningioma,C04;C10,   Neoplasms;    Nervous System Diseases,disease,Neoplastic Process,0.01,1.0
18,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0041207,"Truncus Arteriosus, Persistent",C16;C14,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Cardiovascular Diseases",disease,Congenital Abnormality,0.01,1.0
19,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0205768,Subependymal Giant Cell Astrocytoma,C04,   Neoplasms,disease,Neoplastic Process,0.01,1.0
20,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0206669,Hepatocellular Adenoma,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.01,1.0
21,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0241961,Angiomyolipoma of kidney,C04;C13;C12,   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases,disease,Neoplastic Process,0.01,1.0
22,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C0751674,Lymphangioleiomyomatosis,C04;C20;C15,   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases,disease,Neoplastic Process,0.01,1.0
23,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C1611743,Familial (FPAH),,,disease,Disease or Syndrome,0.01,0.0
24,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C2239176,Liver carcinoma,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.01,1.0
25,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C3854222,Human immunodeficiency virus (HIV) II infection category B1,,,disease,Disease or Syndrome,0.01,1.0
26,1,A1BG,P04217,0.7,0.538,4.9917e-09,DTO_05007575,Receptor,C4521042,Complete Trisomy 21 Syndrome,C23;C16;C10,"   Pathological Conditions, Signs and Symptoms;    Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nervous System Diseases",disease,Disease or Syndrome,0.01,1.0
0,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027726,Nephrotic Syndrome,C13;C12,   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases,group,Disease or Syndrome,0.51,1.0
1,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C2239176,Liver carcinoma,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.51,1.0
2,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0002395,Alzheimer's Disease,C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Disease or Syndrome,0.5,0.769
3,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0206669,Hepatocellular Adenoma,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.5,1.0
4,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0494463,"Alzheimer Disease, Late Onset",C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Mental or Behavioral Dysfunction,0.37,0.8
5,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0024115,Lung diseases,C08,   Respiratory Tract Diseases,group,Disease or Syndrome,0.32,1.0
6,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0007102,Malignant tumor of colon,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.31,1.0
7,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0276496,Familial Alzheimer Disease (FAD),C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Disease or Syndrome,0.31,1.0
8,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C3279661,alpha-2-Macroglobulin Deficiency,C08,   Respiratory Tract Diseases,disease,Disease or Syndrome,0.31,1.0
9,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0009375,Colonic Neoplasms,C06;C04,   Digestive System Diseases;    Neoplasms,group,Neoplastic Process,0.3,1.0
10,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0011265,Presenile dementia,C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Mental or Behavioral Dysfunction,0.3,1.0
11,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0011570,Mental Depression,F01,   Behavior and Behavior Mechanisms,disease,Mental or Behavioral Dysfunction,0.3,1.0
12,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0011581,Depressive disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.3,1.0
13,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0019202,Hepatolenticular Degeneration,C16;C06;C18;C10,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases;    Nutritional and Metabolic Diseases;    Nervous System Diseases",disease,Disease or Syndrome,0.3,1.0
14,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0022660,"Kidney Failure, Acute",C13;C12,   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases,disease,Disease or Syndrome,0.3,1.0
15,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0023890,Liver Cirrhosis,C23;C06,"   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases",disease,Disease or Syndrome,0.3,1.0
16,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0023893,"Liver Cirrhosis, Experimental",C23;C06,"   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases",disease,Experimental Model of Disease,0.3,1.0
17,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0024121,Lung Neoplasms,C04;C08,   Neoplasms;    Respiratory Tract Diseases,group,Neoplastic Process,0.3,1.0
18,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0239946,"Fibrosis, Liver",C23;C06,"   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases",disease,Disease or Syndrome,0.3,1.0
19,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0242379,Malignant neoplasm of lung,C04;C08,   Neoplasms;    Respiratory Tract Diseases,disease,Neoplastic Process,0.3,1.0
20,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0546126,Acute Confusional Senile Dementia,C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Mental or Behavioral Dysfunction,0.3,1.0
21,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0750900,"Alzheimer's Disease, Focal Onset",C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Mental or Behavioral Dysfunction,0.3,1.0
22,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0750901,"Alzheimer Disease, Early Onset",C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Disease or Syndrome,0.3,1.0
23,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1527352,Hepatic Form of Wilson Disease,C16;C06;C18;C10,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases;    Nutritional and Metabolic Diseases;    Nervous System Diseases",disease,Disease or Syndrome,0.3,1.0
24,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1565662,Acute Kidney Insufficiency,C13;C12,   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases,disease,Disease or Syndrome,0.3,1.0
25,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C2609414,Acute kidney injury,C13;C12,   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases,disease,Injury or Poisoning,0.3,1.0
26,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0239981,Hypoalbuminemia,C15,   Hemic and Lymphatic Diseases,disease,Disease or Syndrome,0.21,1.0
27,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0243026,Sepsis,C23;C01,"   Pathological Conditions, Signs and Symptoms;    Infections",disease,Disease or Syndrome,0.21,1.0
28,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0002878,"Anemia, Hemolytic",C15,   Hemic and Lymphatic Diseases,disease,Disease or Syndrome,0.2,1.0
29,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0014072,Experimental Autoimmune Encephalomyelitis,C20;C10,   Immune System Diseases;    Nervous System Diseases,disease,Experimental Model of Disease,0.2,1.0
30,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0015814,Femur Head Necrosis,C23;C05,"   Pathological Conditions, Signs and Symptoms;    Musculoskeletal Diseases",disease,Disease or Syndrome,0.2,1.0
31,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0015967,Fever,C23,"   Pathological Conditions, Signs and Symptoms",phenotype,Sign or Symptom,0.2,1.0
32,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0017665,Membranous glomerulonephritis,C13;C12;C20,   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases;    Immune System Diseases,disease,Disease or Syndrome,0.2,1.0
33,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0018800,Cardiomegaly,C23;C14,"   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases",phenotype,Finding,0.2,1.0
34,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0021368,Inflammation,C23,"   Pathological Conditions, Signs and Symptoms",phenotype,Pathologic Function,0.2,1.0
35,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0023903,Liver neoplasms,C06;C04,   Digestive System Diseases;    Neoplasms,group,Neoplastic Process,0.2,1.0
36,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0029823,Other specified peritonitis,C06;C01,   Digestive System Diseases;    Infections,disease,Disease or Syndrome,0.2,1.0
37,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0041227,Trypanosomiasis,C01,   Infections,disease,Disease or Syndrome,0.2,1.0
38,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0206624,Hepatoblastoma,C04,   Neoplasms,disease,Neoplastic Process,0.2,1.0
39,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0345904,Malignant neoplasm of liver,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.2,1.0
40,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0600327,Toxic Shock Syndrome,C23;C01,"   Pathological Conditions, Signs and Symptoms;    Infections",disease,Disease or Syndrome,0.2,1.0
41,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0853897,Diabetic Cardiomyopathies,C19;C14,   Endocrine System Diseases;    Cardiovascular Diseases,disease,Disease or Syndrome,0.2,1.0
42,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C2676033,Hepatoblastoma Caused By Somatic Mutation,C06;C04,   Digestive System Diseases;    Neoplasms,disease,Neoplastic Process,0.2,1.0
43,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0085400,Neurofibrillary degeneration (morphologic abnormality),,,phenotype,Cell or Molecular Dysfunction,0.1,
44,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0242422,Parkinsonian Disorders,C10,   Nervous System Diseases,group,Disease or Syndrome,0.1,
45,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0410702,Adolescent idiopathic scoliosis,C05,   Musculoskeletal Diseases,disease,Anatomical Abnormality,0.1,1.0
46,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0497327,Dementia,C10;F03,   Nervous System Diseases;    Mental Disorders,disease,Mental or Behavioral Dysfunction,0.1,
47,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1837461,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",,,disease,Finding,0.1,1.0
48,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1856170,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO",,,phenotype,Finding,0.1,
49,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1865903,Long-tract signs,,,phenotype,Finding,0.1,
50,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C4703620,Decreased level of GABA in serum,,,phenotype,Finding,0.1,
51,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0006826,Malignant Neoplasms,C04,   Neoplasms,group,Neoplastic Process,0.06,1.0
52,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1306459,Primary malignant neoplasm,C04,   Neoplasms,group,Neoplastic Process,0.06,1.0
53,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0010674,Cystic Fibrosis,C16;C06;C08,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases;    Respiratory Tract Diseases",disease,Disease or Syndrome,0.04,1.0
54,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0030567,Parkinson Disease,C10,   Nervous System Diseases,disease,Disease or Syndrome,0.04,1.0
55,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0376358,Malignant neoplasm of prostate,C04;C12,   Neoplasms;    Male Urogenital Diseases,disease,Neoplastic Process,0.04,1.0
56,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0600139,Prostate carcinoma,C04;C12,   Neoplasms;    Male Urogenital Diseases,disease,Neoplastic Process,0.04,1.0
57,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027627,Neoplasm Metastasis,C23;C04,"   Pathological Conditions, Signs and Symptoms;    Neoplasms",phenotype,Neoplastic Process,0.03,1.0
58,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027651,Neoplasms,C04,   Neoplasms,group,Neoplastic Process,0.03,1.0
59,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0029408,Degenerative polyarthritis,C05,   Musculoskeletal Diseases,disease,Disease or Syndrome,0.03,1.0
60,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0002726,Amyloidosis,C18,   Nutritional and Metabolic Diseases,disease,Disease or Syndrome,0.02,1.0
61,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0025202,melanoma,C04,   Neoplasms,disease,Neoplastic Process,0.02,1.0
62,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0026769,Multiple Sclerosis,C20;C10,   Immune System Diseases;    Nervous System Diseases,disease,Disease or Syndrome,0.02,0.5
63,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0034067,Pulmonary Emphysema,C08,   Respiratory Tract Diseases,disease,Disease or Syndrome,0.02,1.0
64,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0036341,Schizophrenia,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.02,1.0
65,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0038454,Cerebrovascular accident,C10;C14,   Nervous System Diseases;    Cardiovascular Diseases,group,Disease or Syndrome,0.02,1.0
66,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0221757,alpha 1-Antitrypsin Deficiency,C23;C16;C06;C08,"   Pathological Conditions, Signs and Symptoms;    Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Digestive System Diseases;    Respiratory Tract Diseases",disease,Disease or Syndrome,0.02,0.5
67,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0524851,Neurodegenerative Disorders,C10,   Nervous System Diseases,group,Disease or Syndrome,0.02,1.0
68,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1269955,Tumor Cell Invasion,,,phenotype,Neoplastic Process,0.02,1.0
69,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C1861172,Venous Thromboembolism,C14,   Cardiovascular Diseases,phenotype,Disease or Syndrome,0.02,1.0
70,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0003850,Arteriosclerosis,C14,   Cardiovascular Diseases,disease,Disease or Syndrome,0.01,1.0
71,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0003864,Arthritis,C05,   Musculoskeletal Diseases,disease,Disease or Syndrome,0.01,1.0
72,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0003873,Rheumatoid Arthritis,C17;C05;C20,   Skin and Connective Tissue Diseases;    Musculoskeletal Diseases;    Immune System Diseases,disease,Disease or Syndrome,0.01,1.0
73,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0004096,Asthma,C08;C20,   Respiratory Tract Diseases;    Immune System Diseases,disease,Disease or Syndrome,0.01,1.0
74,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0004114,Astrocytoma,C04,   Neoplasms,disease,Neoplastic Process,0.01,1.0
75,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0004153,Atherosclerosis,C14,   Cardiovascular Diseases,disease,Disease or Syndrome,0.01,1.0
76,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0004936,Mental disorders,F03,   Mental Disorders,group,Mental or Behavioral Dysfunction,0.01,1.0
77,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0005779,Blood Coagulation Disorders,C15,   Hemic and Lymphatic Diseases,group,Disease or Syndrome,0.01,1.0
78,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0007222,Cardiovascular Diseases,C14,   Cardiovascular Diseases,group,Disease or Syndrome,0.01,1.0
79,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0011847,Diabetes,C19,   Endocrine System Diseases,disease,Disease or Syndrome,0.01,1.0
80,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0011849,Diabetes Mellitus,C18;C19,   Nutritional and Metabolic Diseases;    Endocrine System Diseases,group,Disease or Syndrome,0.01,1.0
81,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0013080,Down Syndrome,C16;C10,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nervous System Diseases",disease,Disease or Syndrome,0.01,1.0
82,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0013146,Drug abuse,C25;F03,   Chemically-Induced Disorders;    Mental Disorders,group,Mental or Behavioral Dysfunction,0.01,1.0
83,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0014038,Encephalitis,C10,   Nervous System Diseases,disease,Disease or Syndrome,0.01,1.0
84,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0014059,"Encephalomyelitis, Acute Disseminated",C20;C10,   Immune System Diseases;    Nervous System Diseases,disease,Disease or Syndrome,0.01,1.0
85,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0015951,Fetal Resorption,C23;C13,"   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications",disease,Disease or Syndrome,0.01,1.0
86,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0019243,"Angioedemas, Hereditary",C16;C17;C20;C14,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Skin and Connective Tissue Diseases;    Immune System Diseases;    Cardiovascular Diseases",disease,Disease or Syndrome,0.01,1.0
87,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0020459,Hyperinsulinism,C18,   Nutritional and Metabolic Diseases,disease,Disease or Syndrome,0.01,1.0
88,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0020538,Hypertensive disease,C14,   Cardiovascular Diseases,group,Disease or Syndrome,0.01,1.0
89,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0022578,Keratoconus,C11,   Eye Diseases,disease,Disease or Syndrome,0.01,1.0
90,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0023827,liposarcoma,C04,   Neoplasms,disease,Neoplastic Process,0.01,1.0
91,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0024117,Chronic Obstructive Airway Disease,C08,   Respiratory Tract Diseases,disease,Disease or Syndrome,0.01,1.0
92,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0024894,Mastitis,C13;C17,   Female Urogenital Diseases and Pregnancy Complications;    Skin and Connective Tissue Diseases,disease,Disease or Syndrome,0.01,1.0
93,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027019,Myelomonocytic leukemia,C04,   Neoplasms,disease,Neoplastic Process,0.01,1.0
94,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027051,Myocardial Infarction,C23;C14,"   Pathological Conditions, Signs and Symptoms;    Cardiovascular Diseases",disease,Disease or Syndrome,0.01,1.0
95,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027430,Nasal Polyps,C23;C08;C09,"   Pathological Conditions, Signs and Symptoms;    Respiratory Tract Diseases;    Otorhinolaryngologic Diseases",disease,Disease or Syndrome,0.01,1.0
96,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0027796,Neuralgia,C23;C10,"   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases",phenotype,Sign or Symptom,0.01,1.0
97,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0028754,Obesity,C23;C18,"   Pathological Conditions, Signs and Symptoms;    Nutritional and Metabolic Diseases",disease,Disease or Syndrome,0.01,1.0
98,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0030305,Pancreatitis,C06,   Digestive System Diseases,disease,Disease or Syndrome,0.01,1.0
99,2,A2M,P01023,0.529,0.769,4.5229e-11,DTO_05007584,Enzyme modulator,C0033300,Progeria,C16;C18,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases",disease,Disease or Syndrome,0.01,1.0
